Location_ID,DBA Name,Street_Address,City,State,Zip_Code,latitude,longitude
0013804-02-001,13147 PINNACLE,1280 28TH AVE,San Francisco,CA,94122, -122.48676436399995,37.763562018000073
0013832-01-001,SELTEL INC,50 FRANCISCO ST 103,San Francisco,CA,94133, -122.40621453599999,37.80560629
0013837-01-001,DELOITTE & TOUCHE LLP,50 FREMONT ST 3100,San Francisco,CA,94105, -122.39731733599996,37.790897600000051
0013910-01-001,HUNDLEY E M HARDWARE CO,617 BRYANT ST,San Francisco,CA,94107, -122.39845118099998,37.779227290000051
0014032-02-001,1 14TH ST BLDG,1 14TH ST,San Francisco,CA,94103, -122.41347366299999,37.768631906000053
0014245-01-001,INTERNATIONAL BUS. MACHINES,425 MARKET ST,San Francisco,CA,94105, -122.39854105899997,37.791487568000036
0014245-02-999,IBM GLOBAL SERVICES,4360 CHAMBLCE-DUNWOODY RD 230,ATLANTA,GA,30341, -84.287329049999983,33.887473223000029
0014340-01-999,ISACKSON AXEL FLOOR CO CORP,100 N HILL DR 36,BRISBANE,CA,94005, -122.40723041599995,37.690304550000064
0014350-01-001,ISHIYAMA CORP,465 CALIFORNIA ST 806,San Francisco,CA,94104, -122.40220646799997,37.792953271000044
0014371-01-001,DIANDAS ITAL AMER PSTRY CO INC,2883 MISSION ST,San Francisco,CA,94110, -122.41829462599998,37.750934162000078
0014372-01-001,ITALIAN AMERICAN SOCIAL CLUB,25 RUSSIA AVE,San Francisco,CA,94112, -122.43662742999999,37.72134587
0014387-01-001,ITOCHU INTERNATIONAL INC,180 MONTGOMERY ST 236,San Francisco,CA,94104, -122.40221568599998,37.79072706
0014439-02-001,CONNECTICUT STREET MEDICAL GRP,2 CONNECTICUT ST 2ND FL,San Francisco,CA,94107, -122.39784392899998,37.765978353000037
0014497-02-001,JACKSON & HERTOGS LLP,201 MISSION ST 700,San Francisco,CA,94105, -122.39509112699994,37.791716872000052
0014503-01-001,JACKSON H E CO,334 BRANNAN ST,San Francisco,CA,94107, -122.39283726399998,37.781254153000077
0014509-01-001,JACKSON OSCAR J MD,1352 HAIGHT ST,San Francisco,CA,94117, -122.44447331699996,37.770347806000075
0014509-02-001,1330-1352 HAIGHT ST BLDGS,1330 HAIGHT ST,San Francisco,CA,94117, -122.44422327199999,37.770377765000035
0014528-02-001,JACOBS ASSOCIATES INC,49 STEVENSON ST 3RD FL,San Francisco,CA,94105, -122.39948016899996,37.789857089000066
0014528-03-001,JACOBS ASSOCIATES CONST MGR,49 STEVEN ST 3RD FL,San Francisco,CA,94105, -122.39622955399994,37.790018123000038
0014539-02-001,"COBLENTZ,PATCH,DUFFY & BASS",ONE FERRY BUILDING 200,San Francisco,CA,94111, -122.39195895099999,37.7954618
0014618-03-999,JFC INTERNATIONAL INC,540 FORBES BLVD,S SAN FRAN,CA,94080, -122.38717558799999,37.657804490000046
0014673-01-001,JEANETTES TRAVEL SERVICE INC,619 GREENWICH ST,San Francisco,CA,94133, -122.40992560399997,37.802233748000049
0014717-02-999,EDWARD G JENSEN,50 WOODRIDGE RD,BURLINGAME,CA,94010, -122.34773234499994,37.544826666000063
0014718-01-999,JENSEN INSTRUMENT CO OF NO ETC,345 LITTLEFIELD AV,MEXICO,,00000, -91.887247538999986,39.172632903000078
0014720-01-001,JENSEN LONNIE CO,1350B 25TH ST,San Francisco,CA,94107, -122.39220451199998,37.752602831000047
0014726-01-001,JENSEN WATSON & LIGHT MDS INC,1700 CALIFORNIA ST 340,San Francisco,CA,94109, -122.42298326099996,37.790307632000065
0014729-01-001,JENSON R A MFG CO,1337 VAN DYKE AVE,San Francisco,CA,94124, -122.38767388899998,37.726445869000031
0014732-01-001,JEONG STEVE M REALTY,638 KEARNY ST 305,San Francisco,CA,94108, -122.40469539599997,37.79419658
0014732-03-001,638-644 KEARNY BLDG,638 KEARNY ST,San Francisco,CA,94108, -122.40469539599997,37.79419658
0014885-02-001,220-226 WEST PORTAL BLDG,220 WEST PORTAL AVE,San Francisco,CA,94127, -122.46838892599999,37.73860359
